date,close,velocity,acceleration,reversal_binary,volume,percent_change
1/5/2024,237.49001,-0.43998,0.08003,0,92379400,0.26598
1/8/2024,240.45,2.9599899999999764,3.3999699999999677,1,85166600,1.82519
1/9/2024,234.96001,-5.48999,-8.44998,1,96705700,-1.32292
1/10/2024,233.94,-1.02001,4.469979999999964,0,91628500,-0.49341
1/11/2024,227.22,-6.72,-5.69999,0,105873600,-1.45292
1/12/2024,218.89,-8.33,-1.61,0,122889000,-0.54071
1/16/2024,219.91,1.0200000000000102,9.350000000000023,1,115355000,2.23617
1/17/2024,215.55,-4.36,-5.38,1,103164400,0.32114
1/18/2024,211.88,-3.67,0.6899999999999693,0,108595400,-2.30542
1/19/2024,212.19,0.3100000000000023,3.980000000000018,1,102095800,1.04767
1/22/2024,208.8,-3.39,-3.7,1,117952500,-1.63007
1/23/2024,209.14,0.34,3.7299999999999613,1,106605900,-1.02224
1/24/2024,207.83,-1.31,-1.65,1,123369900,-1.91146
1/25/2024,182.63,-25.2,-23.89,0,198076800,-3.72693
1/26/2024,183.25,0.6200000000000045,25.82000000000002,1,107343200,-1.21294
1/29/2024,190.92999,7.679990000000004,7.059989999999999,0,125013100,2.85514
1/30/2024,191.59,0.6600099999999998,-7.01998,0,109982300,-1.91471
1/31/2024,187.28999,-4.30001,-4.96002,1,103221400,0.15508
2/1/2024,188.86,1.5700100000000248,5.870020000000039,1,91843300,0.19098
2/2/2024,187.91,-0.95,-2.52001,1,110505100,1.55102
2/5/2024,181.06,-6.85,-5.9,0,134294400,-1.73667
2/6/2024,185.10001,4.040009999999995,10.89000999999999,1,122676000,4.45234
2/7/2024,187.58,2.479990000000015,-1.56002,0,111535200,-0.31884
2/8/2024,189.56,1.9799999999999898,-0.49999,0,83034000,0.2963
2/9/2024,193.57001,4.010009999999994,2.0300100000000043,0,84476300,1.78253
2/12/2024,188.13,-5.44001,-9.45002,1,95498600,-2.07173
2/13/2024,184.02,-4.11,1.3300100000000157,0,86759500,0.0163
2/14/2024,188.71001,4.690010000000001,8.800009999999986,1,81203000,1.84026
2/15/2024,200.45,11.739989999999977,7.049979999999977,0,120831800,5.96849
2/16/2024,199.95,-0.5,-12.23999,1,111173600,-1.04424
2/20/2024,193.75999,-6.19001,-5.69001,0,104545800,-1.20839
2/21/2024,194.77,1.0100100000000225,7.200020000000023,1,103844000,0.72921
2/22/2024,197.41,2.6399999999999864,1.6299899999999639,0,92739500,1.75773
2/23/2024,191.97,-5.44,-8.08,1,78841900,-1.7101
2/26/2024,199.39999,7.429990000000004,12.869990000000001,1,111747100,3.69754
2/27/2024,199.73,0.33000999999998726,-7.09998,0,108645400,-2.11233
